Age,Gender,Education Level,Job Title,Years of Experience,Salary
18,Male,High School,Financial Analyst,0,42629.8
31,Male,High School,Data Analyst,0,41359.73
36,Male,Bachelor's,Research Scientist,8,89662.01
42,Female,PhD,Software Engineer,7,151996.58
49,Female,Bachelor's,Marketing Manager,10,88437.3
20,Male,High School,DevOps Engineer,1,61263.5
40,Female,Master's,Research Scientist,1,105301.05
35,Female,High School,Operations Manager,9,72023.12
26,Male,Bachelor's,Network Engineer,0,62450.81
28,Female,Bachelor's,Frontend Developer,3,73913.1
34,Female,Master's,HR Manager,5,81516.4
23,Male,High School,Sales Manager,4,35837.44
52,Male,PhD,Graphic Designer,8,99343.73
25,Female,High School,Machine Learning Engineer,0,61218.17
28,Female,Master's,HR Manager,1,73005.62
37,Male,PhD,Financial Analyst,4,112597.35
51,Female,Master's,DevOps Engineer,18,147811.92
33,Male,PhD,Marketing Manager,0,131714.54
49,Male,Bachelor's,Machine Learning Engineer,19,104881.91
59,Male,Master's,Graphic Designer,0,85550.54
45,Female,Master's,Backend Developer,3,101601.91
56,Male,Master's,Content Writer,11,88040.59
56,Male,Master's,DevOps Engineer,12,128282.21
28,Male,High School,Product Manager,7,51319.68
43,Male,Master's,Financial Analyst,7,117715.77
33,Male,High School,Marketing Manager,2,30052.67
63,Female,PhD,Data Engineer,10,149587.31
34,Female,Bachelor's,Machine Learning Engineer,11,98471.29
52,Female,Master's,Product Manager,28,163788.3
35,Male,High School,Software Engineer,7,65909.98
19,Male,High School,Data Scientist,0,49199.62
39,Male,Bachelor's,Research Scientist,15,101132.29
52,Female,Bachelor's,Backend Developer,7,87571.21
50,Female,PhD,Frontend Developer,13,145112.26
21,Female,High School,Supply Chain Manager,0,28282.72
34,Female,Bachelor's,Marketing Manager,3,81472.42
39,Female,PhD,Financial Analyst,4,121482.44
19,Male,High School,Network Engineer,0,38003.1
32,Female,Bachelor's,Full Stack Developer,6,88329.09
23,Male,High School,Machine Learning Engineer,3,64390.64
53,Female,Master's,Customer Service Manager,9,111569.54
37,Female,PhD,HR Manager,3,95542.17
35,Female,High School,Data Scientist,1,58407.55
25,Male,Bachelor's,Data Analyst,0,63321.57
25,Male,High School,Operations Manager,6,52005.59
31,Female,High School,Business Analyst,10,72496.07
42,Female,Bachelor's,Machine Learning Engineer,7,102340.46
48,Male,PhD,Frontend Developer,2,122692.12
20,Male,High School,Data Engineer,2,46974.91
25,Female,High School,Sales Manager,5,67779.37
62,Male,PhD,Graphic Designer,19,135761.76
22,Male,High School,Product Manager,2,42592.6
39,Male,Bachelor's,Customer Service Manager,9,62526.62
56,Female,Master's,Data Scientist,31,188932.26
31,Female,High School,Data Scientist,13,93484.96
34,Female,Master's,Research Scientist,7,107806.04
21,Male,High School,Research Scientist,0,49483.99
49,Male,Bachelor's,Project Manager,4,72223.71
26,Male,Master's,Graphic Designer,1,70011.01
37,Male,PhD,Sales Manager,3,110976.12
29,Female,PhD,Backend Developer,0,123901.77
39,Male,Bachelor's,Machine Learning Engineer,5,74370.81
33,Male,High School,Frontend Developer,7,49059.96
36,Male,Bachelor's,Machine Learning Engineer,0,89014.96
41,Female,Master's,DevOps Engineer,2,97406.6
25,Female,Master's,Sales Manager,0,72475.1
26,Female,Master's,DevOps Engineer,0,96567.12
30,Male,High School,Business Analyst,9,52371.78
31,Male,High School,DevOps Engineer,0,27780.53
44,Female,Master's,Data Engineer,3,109412.39
50,Female,Master's,Customer Service Manager,10,87568.84
52,Male,PhD,Account Manager,21,146754.0
49,Male,Master's,Project Manager,17,123050.56
53,Female,Master's,Graphic Designer,14,110753.83
54,Male,Bachelor's,Graphic Designer,30,132795.42
29,Female,Master's,Financial Analyst,1,93641.52
31,Male,Bachelor's,Financial Analyst,0,74191.52
32,Male,High School,Customer Service Manager,6,43641.88
59,Male,PhD,Marketing Manager,25,166530.46
31,Male,High School,Customer Service Manager,3,36549.11
31,Male,PhD,Frontend Developer,1,117733.79
52,Female,Master's,Research Scientist,19,144146.16
38,Female,PhD,Business Analyst,7,117420.94
57,Male,Master's,Business Analyst,31,140938.84
32,Male,PhD,Business Analyst,2,96062.38
22,Male,High School,Machine Learning Engineer,1,66013.02
35,Female,Bachelor's,Backend Developer,1,66890.01
24,Female,High School,Machine Learning Engineer,6,71827.79
30,Male,High School,DevOps Engineer,7,60608.09
62,Male,PhD,Full Stack Developer,34,216085.9
39,Female,Bachelor's,Software Engineer,13,94890.01
38,Male,PhD,Account Manager,7,115397.28
30,Male,High School,Data Analyst,9,58303.92
39,Female,PhD,Machine Learning Engineer,0,129623.91
37,Female,Master's,UX Designer,7,96800.66
44,Female,PhD,Software Engineer,2,120708.65
29,Male,High School,Network Engineer,3,49961.29
25,Male,High School,Account Manager,3,40141.86
37,Female,Bachelor's,Graphic Designer,4,74129.88
44,Male,PhD,Account Manager,11,130548.57
23,Male,High School,Operations Manager,2,48578.23
53,Male,PhD,Data Analyst,22,160611.34
28,Female,Bachelor's,Graphic Designer,5,58718.33
